condition,tpr_0.30,tpr_0.40,tpr_0.50,tpr_0.60,tpr_0.70,tpr_0.80,tpr_0.90,tpr_0.50_real,tpr_0.50_tts,med_score,p10_score,med_drop,n
clean,1.0,1.0,1.0,0.9990029910269193,0.9990029910269193,0.9980059820538385,0.9940179461615155,1.0,1.0,0.99609375,0.99609375,0.0,1003
30,0.10667996011964108,0.09371884346959122,0.08574277168494517,0.07676969092721835,0.07278165503489531,0.06879361914257229,0.06380857427716849,1.0,0.01714898177920686,0.01171875,0.0,0.984375,1003
20,0.18544366899302095,0.15254237288135594,0.13858424725822532,0.12662013958125623,0.10269192422731804,0.08275174476570289,0.06679960119641076,1.0,0.07395498392282958,0.00390625,0.0,0.9921875,1003
15,0.2143569292123629,0.19940179461615154,0.19441674975074777,0.18344965104685942,0.1535393818544367,0.12562313060817548,0.07577268195413758,1.0,0.1339764201500536,0.0078125,0.0,0.98828125,1003
10,0.27018943170488535,0.24626121635094717,0.23529411764705882,0.21635094715852443,0.19541375872382852,0.17048853439680958,0.1016949152542373,0.9428571428571428,0.18220793140407288,0.015625,0.0,0.98046875,1003
5,0.3459621136590229,0.30807577268195413,0.28614157527417744,0.2612163509471585,0.23629112662013957,0.2123629112662014,0.13559322033898305,0.8428571428571429,0.24437299035369775,0.0625,0.0,0.93359375,1003
0,0.3988035892323031,0.3489531405782652,0.3270189431704885,0.29810568295114653,0.2452642073778664,0.22233300099700898,0.15453639082751744,0.6,0.3065380493033226,0.12109375,0.0,0.859375,1003
-5,0.3300099700897308,0.28215353938185445,0.259222333000997,0.22831505483549352,0.20139581256231306,0.17647058823529413,0.12562313060817548,0.2714285714285714,0.2583065380493033,0.046875,0.0,0.94140625,1003
repro,0.17547357926221335,0.15553339980059822,0.14356929212362912,0.1345962113659023,0.11964107676969092,0.10269192422731804,0.04885343968095713,0.4142857142857143,0.1232583065380493,0.0,0.0,0.0,1003
