event_id,source_positive,source_type,background_type,background_file,snr_db,score,raw_logspec_mean,raw_logspec_std,normalized_mean,normalized_std,positive_rms,background_rms,mixture_rms,peak_amplitude,common_gain
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,random_segment,0,0.9921875,-1.4250052,1.1433973,-7.0065866e-08,0.99999917,0.021225765,0.05340229,0.031147035,0.095354795,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,ambient,random_segment,-5,0.9921875,-1.4069413,1.1988674,1.5570192e-08,0.9999992,0.021225765,0.05340229,0.044699803,0.114595056,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,random_segment,30,0.9921875,-1.4615983,1.0715017,1.946274e-08,0.9999991,0.021225765,0.0443208,0.021240713,0.10200123,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,random_segment,20,0.9921875,-1.4459794,1.0687816,1.5570192e-08,0.9999991,0.021225765,0.0443208,0.021345284,0.102356,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,random_segment,15,0.9921875,-1.430898,1.0774626,-7.785096e-09,0.9999991,0.021225765,0.0443208,0.02158278,0.1027598,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,random_segment,10,0.9921875,-1.4010992,1.0940888,-1.20669e-07,0.99999905,0.021225765,0.0443208,0.022303117,0.10347788,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,random_segment,5,0.9921875,-1.3389888,1.1139953,-3.892548e-09,0.9999991,0.021225765,0.0443208,0.024418863,0.10475481,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,random_segment,0,0.98828125,-1.2469213,1.1516234,-9.342116e-08,0.99999917,0.021225765,0.0443208,0.030114667,0.14617261,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,speech,random_segment,-5,0.96875,-1.1177487,1.2078409,-4.671058e-08,0.99999917,0.021225765,0.0443208,0.043423563,0.24796513,1.0
2,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0112.wav,REAL,streaming_repro,random_ambient,repro,0.0,-0.65380746,1.298823,-1.1677645e-08,0.99999917,0.021225765,0,0.11239318,0.30541992,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,none,none,clean,0.9921875,-1.6331207,1.0916171,7.785096e-08,0.9999991,0.023168169,0,0.023168169,0.12619019,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,random_segment,30,0.9921875,-1.6324632,1.0944108,-7.785096e-08,0.99999905,0.023168169,0.05803502,0.023224434,0.12638512,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,random_segment,20,0.9921875,-1.6310898,1.1017413,-3.892548e-08,0.9999991,0.023168169,0.05803502,0.023424108,0.12680665,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,random_segment,15,0.9921875,-1.6275374,1.1088806,-1.5570192e-08,0.99999917,0.023168169,0.05803502,0.023778109,0.12728642,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,random_segment,10,0.9921875,-1.6216867,1.1208781,1.2845409e-07,0.99999917,0.023168169,0.05803502,0.024721975,0.12813959,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,random_segment,5,0.9921875,-1.613319,1.1335529,-5.4495676e-08,0.9999991,0.023168169,0.05803502,0.027264949,0.12965678,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,random_segment,0,0.9921875,-1.6037645,1.1522576,8.1743515e-08,0.99999917,0.023168169,0.05803502,0.033750553,0.13235475,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,ambient,random_segment,-5,0.98828125,-1.5736262,1.2060962,4.281803e-08,0.9999992,0.023168169,0.05803502,0.048484694,0.1371525,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,speech,random_segment,30,0.99609375,-1.6280293,1.0915253,5.8388224e-08,0.9999991,0.023168169,0.03238891,0.023178281,0.12608042,1.0
3,E:\SIH\ira-wakeword\real\positive\standardized\quiet_20cm\ira_0113.wav,REAL,speech,random_segment,20,0.99609375,-1.6011571,1.0868034,-9.731371e-08,0.99999917,0.023168169,0.03238891,0.023279097,0.1258431,1.0
