condition,tpr_0.30,tpr_0.40,tpr_0.50,tpr_0.60,tpr_0.70,tpr_0.80,tpr_0.90,tpr_0.50_real,tpr_0.50_tts,med_score,p10_score,med_drop,n
clean,1.0,1.0,1.0,0.9990029910269193,0.9990029910269193,0.9980059820538385,0.9940179461615155,1.0,1.0,0.99609375,0.99609375,0.0,1003
30,0.07577268195413758,0.07477567298105683,0.07278165503489531,0.07178464606181456,0.06879361914257229,0.06779661016949153,0.06580259222333001,1.0,0.003215434083601286,0.00390625,0.0,0.9921875,1003
20,0.07278165503489531,0.07178464606181456,0.0707876370887338,0.06979062811565304,0.06779661016949153,0.06779661016949153,0.06480558325024925,1.0,0.0010718113612004287,0.0,0.0,0.99609375,1003
15,0.07278165503489531,0.07178464606181456,0.06979062811565304,0.06879361914257229,0.06779661016949153,0.06779661016949153,0.06480558325024925,1.0,0.0,0.0,0.0,0.99609375,1003
10,0.07577268195413758,0.07377866400797607,0.0707876370887338,0.06879361914257229,0.06879361914257229,0.06580259222333001,0.06480558325024925,0.9857142857142858,0.0021436227224008574,0.0,0.0,0.99609375,1003
5,0.07976071784646062,0.07178464606181456,0.06979062811565304,0.06879361914257229,0.06779661016949153,0.06679960119641076,0.06281156530408774,0.9571428571428572,0.003215434083601286,0.0,0.0,0.99609375,1003
0,0.07477567298105683,0.07178464606181456,0.0707876370887338,0.0707876370887338,0.06979062811565304,0.06580259222333001,0.058823529411764705,0.9,0.00857449088960343,0.0,0.0,0.99609375,1003
-5,0.07178464606181456,0.06779661016949153,0.06580259222333001,0.06281156530408774,0.06081754735792622,0.05682951146560319,0.049850448654037885,0.7857142857142857,0.011789924973204717,0.0,0.0,0.99609375,1003
repro,0.17547357926221335,0.15553339980059822,0.14356929212362912,0.1345962113659023,0.11964107676969092,0.10269192422731804,0.04885343968095713,0.4142857142857143,0.1232583065380493,0.0,0.0,0.0,1003
