name,path,bytes,readable,format,subtype,samplerate,channels,frames,duration,rms,peak,audio_sha1,byte_sha1,error
ira_0020.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0020.wav,46590,True,WAV,PCM_16,16000,1,23256,1.4535,0.22044055884772637,0.999969482421875,b47c2d5c5256b7cde896b277705f49a8d2b8c6fe,9c44d151bcfee582cd7a59b49af670245cd856f3,
ira_0021.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0021.wav,52990,True,WAV,PCM_16,16000,1,26456,1.6535,0.18711542976365567,0.999969482421875,5334619098592506cf9151027514c29b03845328,40e7df3f58eb2b529bd55a648c8aa19a587ad637,
ira_0022.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0022.wav,42750,True,WAV,PCM_16,16000,1,21336,1.3335,0.19946807204485809,0.999969482421875,85746d67b29ba7dee4ad1b63eb57228d47cf38eb,12d3ff4b2c291a50477a779445074abab0aabe3c,
ira_0023.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0023.wav,44670,True,WAV,PCM_16,16000,1,22296,1.3935,0.20582955720344778,0.999969482421875,7218b5b167c994a38c0516f4faba04ad7834fd4d,bdacf819f796de7486b6cc5c2fddc056d901eca5,
ira_0024.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0024.wav,39550,True,WAV,PCM_16,16000,1,19736,1.2335,0.18278163482037976,0.999969482421875,33fc4eb9e63babf51056878d86772ee3ab87df44,4583d793721a7123d3b87702d52ba63b6f02e4ed,
ira_0025.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0025.wav,27390,True,WAV,PCM_16,16000,1,13656,0.8535,0.22578823363817413,1.0,a2b6f405042d4f098509cf66631140778bc2e2bd,553777b689a8fc306abd6db0b1dbd8ac3105362a,
ira_0026.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0026.wav,36350,True,WAV,PCM_16,16000,1,18136,1.1335,0.2036349831941759,1.0,a7d80aa051607017e78e39a9dfe947624a84d939,8ca431eb8c566d063341449170837862f50e35e1,
ira_0027.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0027.wav,39550,True,WAV,PCM_16,16000,1,19736,1.2335,0.18055858892651014,1.0,75dfbfbde19f06959e9d8860ac012c561254ee7a,8b9adeca35895fab7fe78a4f01cd903cc755da0d,
ira_0028.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0028.wav,46590,True,WAV,PCM_16,16000,1,23256,1.4535,0.18464021174710307,0.999969482421875,e872b5db120b9ecad891acccd95ed250b9134891,a1c9c3bb446f0819fd4cab34c4036c5cc7b0fa0c,
ira_0029.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0029.wav,55550,True,WAV,PCM_16,16000,1,27736,1.7335,0.1649082975796032,0.999969482421875,cc6072a9d5b7093c4fa5d220c4cd68140639664a,73dd946799b2f1b3ff2ce4c346ca91a3af1279ad,
ira_0030.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0030.wav,35710,True,WAV,PCM_16,16000,1,17816,1.1135,0.1614263623312906,0.999969482421875,a4ea1db1b8e3f093b5019cfae2bda1f282abf8b2,c34deb5b51af607d66df878a2167e8afd8b05523,
ira_0031.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0031.wav,31870,True,WAV,PCM_16,16000,1,15896,0.9935,0.08873188976861053,0.47161865234375,7f818433765e32ea6826f37bcdd4fe01d30711f2,c57c8079ca731a4da7b32655716036bcb215c111,
ira_0032.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0032.wav,45950,True,WAV,PCM_16,16000,1,22936,1.4335,0.1592094080149514,0.999969482421875,b7d7f1c2dec139ac0cbd726b4e7c57f3243b5ccd,c388dfd2532ad404b94ea598f2d9e274bd5be2c9,
ira_0033.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0033.wav,52350,True,WAV,PCM_16,16000,1,26136,1.6335,0.10062946376665749,0.866485595703125,987254bec6860ffebe41e6c847747db2595e80f8,f96ef580fbbb04e213a2b5d270bef848e9d97bf0,
ira_0034.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0034.wav,35070,True,WAV,PCM_16,16000,1,17496,1.0935,0.14467855773606397,0.888580322265625,7bf5f2ed7ab3c21201f42eccae4998801f9a37ea,cc4846641a947cd52af170d5dc3eebbd0e76181f,
ira_0035.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0035.wav,40190,True,WAV,PCM_16,16000,1,20056,1.2535,0.13992816742560318,0.939666748046875,5a73a74c1fa18c62b968904666cb90e5f6578fcc,818126adf69fe79ef89cc7db010e4ca294e0fd23,
ira_0036.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0036.wav,35710,True,WAV,PCM_16,16000,1,17816,1.1135,0.15388511788333878,0.98541259765625,a1dcaffcb9c356c336bfb4b97ff5ac45195403a6,9e3a6d366f8894f577ebbdde8d9cf5e72a14a1bf,
ira_0037.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0037.wav,43390,True,WAV,PCM_16,16000,1,21656,1.3535,0.11241009037407795,0.765716552734375,2662b96c66db5e80370be235a5315eaf39117fd8,89d97a75994691841f42f739b04b08f6455dee26,
ira_0038.wav,D:\SIH\ira-wakeword\ira words\ira words\ira_0038.wav,41470,True,WAV,PCM_16,16000,1,20696,1.2935,0.1288991566960666,0.999969482421875,6c0eb345aff1822942b387f9f3ce956c0e27dc68,a352cef122419bc68f90e2726d309cacb0847888,
