filename,original_name,session,kind,fired_100ms,fired_10ms,max_q_out_100ms,max_score_100ms,max_q_out_10ms,max_score_10ms,t_max_score_10ms,n_windows_100ms,duration_s,rms,peak,clipped_pct,silence_before_s,silence_after_s,active_dur_s,active_rms,crest_factor,spectral_centroid,spectral_flatness,zcr,is_clipped,clipped_samples
ira_0001.wav,WhatsApp Ptt 2026-09-06 at 10.12.53 PM.wav,S01,Ptt,True,True,100,0.890625,100,0.890625,0.0,1,0.9735,0.21461288330130615,0.999969482421875,0.0064201335387776065,0.1588125,0.0010625,0.813625,0.2347528165943337,4.659410316099085,792.8090470119893,0.01535122803129159,0.10182985553772071,True,1
ira_0002.wav,WhatsApp Ptt 2026-09-06 at 10.13.07 PM.wav,S01,Ptt,True,True,124,0.984375,124,0.984375,0.0,1,0.9535,0.16633242996461575,0.997161865234375,0.0,0.1770625,0.0294375,0.747,0.18791994472895734,5.994993672890508,893.0867943471696,0.003401297363350315,0.07492625368731563,False,0
ira_0003.wav,WhatsApp Ptt 2026-09-06 at 10.13.13 PM.wav,S01,Ptt,True,True,115,0.94921875,115,0.94921875,0.3335,5,1.3335,0.17865708612780004,0.999969482421875,0.03280839895013123,0.1746875,0.00025,1.1585625,0.19167101997259986,5.597144250447249,778.4552214066922,0.009046090579868108,0.11985001171783455,True,7
ira_0004.wav,WhatsApp Ptt 2026-09-06 at 10.13.21 PM.wav,S01,Ptt,True,True,123,0.98046875,125,0.98828125,0.02,4,1.2535,0.1858606811285812,0.999969482421875,0.0648185081771041,0.1754375,0.344,0.7340625,0.24287051536009943,5.380209931169256,714.845280409538,0.007448274522161626,0.0705559710795313,True,13
ira_0005.wav,WhatsApp Ptt 2026-09-06 at 10.13.28 PM.wav,S01,Ptt,True,True,124,0.984375,126,0.9921875,0.06,5,1.3935,0.18205911135367123,0.999969482421875,0.004485109436670255,0.17125,0.113,1.10925,0.2040560672224936,5.492553901789165,688.8999943564935,0.009485642003747652,0.0674590715407042,True,1
ira_0006.wav,WhatsApp Ptt 2026-09-06 at 10.13.35 PM.wav,S01,Ptt,True,True,125,0.98828125,126,0.9921875,0.01,2,1.0135,0.19088964598264138,0.999969482421875,0.0185002466699556,0.1725,0.0165,0.8245,0.21163893827248262,5.238468945103537,548.4299227778556,0.008373820329880065,0.07394387912426766,True,3
ira_0007.wav,WhatsApp Ptt 2026-09-06 at 10.13.42 PM.wav,S01,Ptt,True,True,112,0.9375,112,0.9375,0.0,1,0.8935,0.18923183357631357,0.999969482421875,0.041969781757134866,0.1741875,0.0329375,0.686375,0.2159019588787858,5.284361851403857,648.985094476269,0.010814570714022004,0.09233997901364113,True,6
ira_0008.wav,WhatsApp Ptt 2026-09-06 at 10.13.53 PM.wav,S01,Ptt,True,True,116,0.953125,123,0.98046875,0.08,5,1.3935,0.17749773879452288,0.999969482421875,0.013455328310010763,0.1671875,0.0053125,1.221,0.18962160110229512,5.6337026556686,591.1192976654899,0.010209669079116385,0.06324287956941019,True,3
ira_0009.wav,WhatsApp Ptt 2026-09-06 at 10.13.59 PM.wav,S01,Ptt,True,True,123,0.98046875,123,0.98046875,0.5,7,1.5535,0.14206113792844272,0.999969482421875,0.004023173479240425,0.1673125,0.019875,1.3663125,0.15147968280994267,7.039007972226488,866.0724556214846,0.013984445238947759,0.07044860189096762,True,1
ira_0010.wav,WhatsApp Ptt 2026-09-06 at 10.14.03 PM.wav,S01,Ptt,True,True,123,0.98046875,126,0.9921875,0.06,6,1.4335,0.16018190830810572,1.0,0.01307987443320544,0.1635625,0.0,1.2699375,0.17018479119813457,6.242902276307797,733.5598063036961,0.010202021380193826,0.07072160453455417,True,3
ira_0011.wav,WhatsApp Ptt 2026-09-06 at 10.14.13 PM.wav,S01,Ptt,True,True,126,0.9921875,126,0.9921875,0.0,1,0.9535,0.20723557547258487,0.999969482421875,0.11143156790770843,0.1754375,0.002125,0.7759375,0.22972613538226982,4.825279058103423,478.2014705012676,0.007335298453097656,0.11071779744346116,True,17
ira_0012.wav,WhatsApp Ptt 2026-09-06 at 10.14.19 PM.wav,S01,Ptt,True,True,121,0.97265625,121,0.97265625,0.0,4,1.2335,0.1706281029504316,0.999969482421875,0.010133765707336847,0.1601875,0.0008125,1.0725,0.1829873291808997,5.860520425010947,727.1915080593486,0.0073129661324875155,0.07717253610336965,True,2
ira_0013.wav,WhatsApp Ptt 2026-09-06 at 10.14.24 PM.wav,S01,Ptt,True,True,102,0.8984375,109,0.92578125,0.02,5,1.3335,0.1757500024864971,0.999969482421875,0.014060742407199102,0.17,0.0043125,1.1591875,0.18850112217041493,5.689726704263932,536.7903958240145,0.00484825509179274,0.06861963909069604,True,3
