filename,duration_s,n_windows_100ms,fired_100ms,max_q_out_100ms,max_score_100ms,t_max_score_100ms,t_first_fire_100ms,n_firing_windows_100ms,n_windows_10ms,fired_10ms,max_q_out_10ms,max_score_10ms,t_max_score_10ms,t_first_fire_10ms,n_firing_windows_10ms,audio_sha1
ira_0573.wav,1.5735,7,False,-61,0.26171875,0.1,,0,59,False,-43,0.33203125,0.13,,0,6154175d62e085375555281659084a4c20e42b40
ira_0691.wav,1.3735,5,False,-61,0.26171875,0.3,,0,39,True,17,0.56640625,0.35,0.27,2,73155f5a422068f0355a5845c0ffbbf09647d17e
ira_0188.wav,1.4935,6,False,-66,0.2421875,0.3,,0,51,False,-48,0.3125,0.31,,0,38ad16d6f85cf8889e79c0f8a4804f0dc20547b9
ira_0365.wav,0.9335,1,False,-66,0.2421875,0.0,,0,1,False,-66,0.2421875,0.0,,0,5edb1efd3ae2d1a3c56b49648c47a911022de7df
ira_0687.wav,1.3335,5,False,-66,0.2421875,0.2,,0,35,False,-53,0.29296875,0.21,,0,bbc0b30e1794ac02b772510bb33604e0f6c9783a
ira_0693.wav,1.3335,5,False,-66,0.2421875,0.3,,0,35,False,-66,0.2421875,0.3,,0,092cb3e266bd3aab614ea508ebbeda31677c4f52
ira_0190.wav,1.2935,4,False,-70,0.2265625,0.1,,0,31,False,-57,0.27734375,0.02,,0,8a1e919b3edb63f1c3ec55d5a545eda6914355fe
ira_0244.wav,1.1535,3,False,-70,0.2265625,0.0,,0,17,True,43,0.66796875,0.07,0.03,3,f1669999cfdcf405cc8cffb0b3952f2e2e7c909c
ira_0537.wav,1.6135,8,False,-70,0.2265625,0.1,,0,63,True,66,0.7578125,0.03,0.01,12,b6babbf657f26a028bb8599bc0b65f8a2739fad3
ira_0539.wav,1.9935,11,False,-70,0.2265625,0.8,,0,101,False,-53,0.29296875,0.01,,0,99ed2534460e6cc16b3897d03668e33ee7fe23f6
ira_0016.wav,1.6535,8,False,-74,0.2109375,0.0,,0,67,False,-48,0.3125,0.02,,0,6853eb71b924937f630e1185279e4fd0e60126d6
ira_0397.wav,1.2735,4,False,-74,0.2109375,0.1,,0,29,True,53,0.70703125,0.05,0.01,8,9121f198351a087a681fc0b916ae1165a6134ba5
ira_0340.wav,1.6335,8,False,-77,0.19921875,0.0,,0,65,True,66,0.7578125,0.03,0.03,6,6742767d2d623a073d22af1fd97f932993b79d56
ira_0695.wav,1.1335,3,False,-77,0.19921875,0.1335,,0,15,False,-27,0.39453125,0.11,,0,9f3ab942117fcf215564854edc851d7569ab25bd
ira_0181.wav,1.0935,2,False,-81,0.18359375,0.0935,,0,11,True,-22,0.4140625,0.09,0.09,1,f44011a747811f857355d7adb552ea588e7c495c
ira_0240.wav,1.1735,3,False,-81,0.18359375,0.0,,0,19,False,-77,0.19921875,0.01,,0,bbab15d4f177b6a7115279289a0ba0c72c03ed39
ira_0349.wav,1.4135,6,False,-81,0.18359375,0.2,,0,43,True,22,0.5859375,0.09,0.05,3,edccb376aaed91d3189ee9e7d3b153dd544e42df
ira_0744.wav,1.0935,2,False,-81,0.18359375,0.0935,,0,11,False,-38,0.3515625,0.06,,0,96f41c1f9ba64740668261971adc67cbf6b642ee
ira_0748.wav,1.2735,4,False,-84,0.171875,0.2735,,0,29,False,-77,0.19921875,0.26,,0,5cd1d18e498d51692734804ac75b068af13551df
ira_0750.wav,0.9735,1,False,-84,0.171875,0.0,,0,1,False,-84,0.171875,0.0,,0,ae183761ea57850e168f1d4e206ac45665e0e848
ira_0753.wav,0.9535,1,False,-84,0.171875,0.0,,0,1,False,-84,0.171875,0.0,,0,f3acba08f777ebb208165d33caece3fae250e9dc
ira_0389.wav,2.0935,12,False,-87,0.16015625,0.0,,0,111,True,-17,0.43359375,0.03,0.03,2,d1dea3ee1a51db7224d120789dbf4a876aa9b093
